AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
121,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
122,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,9,0,0,V,0,0,0,0,N,,,,,
123,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,10,0,0,H,0,0,0,0,N,,,| 15,,
124,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,11,0,0,H,0,0,0,0,N,,,,,
125,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,12,0,0,H,0,0,0,0,N,,,,,
126,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,13,0,0,H,0,0,0,0,N,,,,,
127,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,14,0,0,V,0,0,0,0,N,,,,,
128,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,15,0,0,V,0,0,0,0,N,,,,,
129,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,16,0,0,H,0,0,0,0,N,,,,,
130,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,17,0,0,H,0,0,0,0,N,,,,,
131,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,18,0,0,H,0,0,0,0,N,,,,,
132,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,19,0,0,H,0,0,0,0,N,,,,,
133,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,1,0,0,H,2,0,0,0,,,,,,
134,8,O,oxygen,"(' 8 oxygen O ', 8)",[He],8,8,16,2,2,0,0,V,1,0,0,0,N,,,| 14,,
